	AM01 F10-942	2011-12-28 11:59	10	1
	Al2O3	mass%	113	18.491
	SiO2	mass%	114	58.838
	P2O5	mass%	115	0.3186
	K2O	mass%	119	5.2554
	CaO	mass%	120	2.1995
	TiO2	mass%	122	1.5885
	MnO	mass%	125	0.1087
	Fe2O3	mass%	126	13.131
	Rb2O	mass%	137	0.0353
	SrO	mass%	138	0.0336
	AM03 F08-942	2011-12-28 12:30	11	1
	MgO	mass%	112	1.7657
	Al2O3	mass%	113	15.770
	SiO2	mass%	114	63.191
	Cl	mass%	17	0.2427
	K2O	mass%	119	4.5709
	CaO	mass%	120	3.5632
	TiO2	mass%	122	1.4883
	MnO	mass%	125	0.1673
	Fe2O3	mass%	126	9.1209
	SrO	mass%	138	0.0321
	ZrO2	mass%	140	0.0879
	AM02 F09-941	2011-12-28 13:01	12	1
	MgO	mass%	112	1.6216
	Al2O3	mass%	113	16.955
	SiO2	mass%	114	59.053
	P2O5	mass%	115	0.2764
	K2O	mass%	119	5.4625
	CaO	mass%	120	2.4869
	TiO2	mass%	122	1.6519
	MnO	mass%	125	0.1653
	Fe2O3	mass%	126	12.238
	ZnO	mass%	130	0.0360
	Rb2O	mass%	137	0.0214
	SrO	mass%	138	0.0321
	AM01 F01-942	2011-12-28 13:32	14	1
	MgO	mass%	112	1.5739
	Al2O3	mass%	113	20.730
	SiO2	mass%	114	56.442
	P2O5	mass%	115	0.2083
	Cl	mass%	17	0.0355
	K2O	mass%	119	5.0184
	CaO	mass%	120	1.9924
	TiO2	mass%	122	1.6527
	MnO	mass%	125	0.1644
	Fe2O3	mass%	126	11.985
	ZnO	mass%	130	0.0320
	Rb2O	mass%	137	0.0224
	SrO	mass%	138	0.0387
	ZrO2	mass%	140	0.1032
	AM01 F03-941	2011-12-28 14:03	10	1
	Al2O3	mass%	113	17.494
	SiO2	mass%	114	62.636
	K2O	mass%	119	5.5311
	CaO	mass%	120	2.4198
	TiO2	mass%	122	1.9323
	MnO	mass%	125	0.2007
	Fe2O3	mass%	126	9.7220
	ZnO	mass%	130	0.0282
	Rb2O	mass%	137	0.0162
	ZrO2	mass%	140	0.0200
	AM04 F02-941	2011-12-28 14:34	12	1
	MgO	mass%	112	2.0131
	Al2O3	mass%	113	16.891
	SiO2	mass%	114	61.368
	P2O5	mass%	115	0.3197
	K2O	mass%	119	5.0036
	CaO	mass%	120	2.4687
	TiO2	mass%	122	1.2830
	MnO	mass%	125	0.2073
	Fe2O3	mass%	126	10.289
	Rb2O	mass%	137	0.0200
	SrO	mass%	138	0.0483
	ZrO2	mass%	140	0.0881
	AM01 F02-941	2011-12-28 16:38	13	1
	MgO	mass%	112	1.6348
	Al2O3	mass%	113	19.430
	SiO2	mass%	114	61.109
	P2O5	mass%	115	0.3232
	Cl	mass%	17	0.0481
	K2O	mass%	119	5.5136
	CaO	mass%	120	2.2393
	TiO2	mass%	122	1.5044
	MnO	mass%	125	0.1705
	Fe2O3	mass%	126	7.8890
	Rb2O	mass%	137	0.0166
	SrO	mass%	138	0.0310
	ZrO2	mass%	140	0.0910
	AM05 F02-941	2011-12-28 17:09	12	1
	Al2O3	mass%	113	19.662
	SiO2	mass%	114	58.093
	P2O5	mass%	115	0.3458
	Cl	mass%	17	0.0881
	K2O	mass%	119	4.8419
	CaO	mass%	120	1.7522
	TiO2	mass%	122	1.8232
	MnO	mass%	125	0.1855
	Fe2O3	mass%	126	13.037
	Rb2O	mass%	137	0.0301
	SrO	mass%	138	0.0416
	CdO	mass%	148	0.1006
	AM01 F9.1-925	2011- 9- 5 17:47	16	1
	MgO	mass%	112	2.0694
	Al2O3	mass%	113	17.293
	SiO2	mass%	114	59.516
	P2O5	mass%	115	0.3265
	Cl	mass%	17	0.0549
	K2O	mass%	119	5.2328
	CaO	mass%	120	2.4295
	TiO2	mass%	122	1.8543
	MnO	mass%	125	0.1195
	Fe2O3	mass%	126	10.743
	ZnO	mass%	130	0.0243
	Rb2O	mass%	137	0.0286
	SrO	mass%	138	0.0310
	ZrO2	mass%	140	0.1113
	Ag2O	mass%	147	0.0786
	CdO	mass%	148	0.0878
	AM04 F8-925	2011- 9- 5 18:18	14	1
	MgO	mass%	112	1.7446
	Al2O3	mass%	113	17.446
	SiO2	mass%	114	61.090
	Cl	mass%	17	0.1669
	K2O	mass%	119	5.2406
	CaO	mass%	120	2.1498
	TiO2	mass%	122	1.5149
	MnO	mass%	125	0.1296
	Fe2O3	mass%	126	10.153
	Rb2O	mass%	137	0.0291
	SrO	mass%	138	0.0386
	ZrO2	mass%	140	0.0909
	Rh2O3	mass%	145	0.1397
	Ag2O	mass%	147	0.0653
	AM01 F6.5-925	2011- 9- 5 18:49	10	1
	MgO	mass%	112	2.0753
	Al2O3	mass%	113	17.683
	SiO2	mass%	114	58.648
	K2O	mass%	119	5.0176
	CaO	mass%	120	2.0275
	TiO2	mass%	122	1.6347
	MnO	mass%	125	0.1208
	Fe2O3	mass%	126	12.688
	Rb2O	mass%	137	0.0483
	SrO	mass%	138	0.0566
	AM01 F7-925	2011- 9- 5 19:19	10	1
	Al2O3	mass%	113	19.098
	SiO2	mass%	114	59.734
	Cl	mass%	17	0.0432
	K2O	mass%	119	5.5051
	CaO	mass%	120	2.3204
	TiO2	mass%	122	1.6753
	MnO	mass%	125	0.2109
	Fe2O3	mass%	126	11.322
	Rb2O	mass%	137	0.0348
	SrO	mass%	138	0.0555
	AM01 F6.1-925	2011- 9- 5 20:21	11	1
	MgO	mass%	112	1.9788
	Al2O3	mass%	113	17.452
	SiO2	mass%	114	59.840
	P2O5	mass%	115	0.3301
	K2O	mass%	119	5.3476
	CaO	mass%	120	1.9382
	TiO2	mass%	122	1.7480
	MnO	mass%	125	0.1597
	Fe2O3	mass%	126	11.155
	ZnO	mass%	130	0.0261
	SrO	mass%	138	0.0242
	AM01 F5-925	2011- 9- 5 20:52	14	1
	Al2O3	mass%	113	19.460
	SiO2	mass%	114	58.993
	Cl	mass%	17	0.2950
	K2O	mass%	119	5.2901
	CaO	mass%	120	2.4556
	TiO2	mass%	122	1.7852
	MnO	mass%	125	0.1571
	Fe2O3	mass%	126	10.927
	NiO	mass%	128	0.0384
	ZnO	mass%	130	0.0291
	Rb2O	mass%	137	0.0425
	SrO	mass%	138	0.0555
	ZrO2	mass%	140	0.1827
	Rh2O3	mass%	145	0.2891
	AM04 F10-925	2011- 9- 5 21:23	15	1
	MgO	mass%	112	1.7896
	Al2O3	mass%	113	14.551
	SiO2	mass%	114	63.261
	P2O5	mass%	115	0.3533
	K2O	mass%	119	5.8630
	CaO	mass%	120	3.1136
	TiO2	mass%	122	1.5554
	V2O5	mass%	123	0.1643
	MnO	mass%	125	0.0953
	Fe2O3	mass%	126	8.6713
	Rb2O	mass%	137	0.0418
	SrO	mass%	138	0.0694
	ZrO2	mass%	140	0.2422
	Ag2O	mass%	147	0.0917
	CdO	mass%	148	0.1371
	AM06 F02-941	2011-12-28 18:11	12	1
	MgO	mass%	112	2.7936
	Al2O3	mass%	113	17.612
	SiO2	mass%	114	57.272
	Cl	mass%	17	0.0591
	K2O	mass%	119	4.4619
	CaO	mass%	120	1.4124
	TiO2	mass%	122	1.6863
	MnO	mass%	125	0.2086
	Fe2O3	mass%	126	14.378
	ZnO	mass%	130	0.0411
	Rb2O	mass%	137	0.0363
	SrO	mass%	138	0.0391
	AM 01 F4-925	2011- 9- 6 09:13	10	1
	MgO	mass%	112	2.1544
	Al2O3	mass%	113	18.657
	SiO2	mass%	114	57.618
	K2O	mass%	119	4.8100
	CaO	mass%	120	1.8393
	TiO2	mass%	122	1.6934
	MnO	mass%	125	0.1891
	Fe2O3	mass%	126	12.941
	Rb2O	mass%	137	0.0491
	SrO	mass%	138	0.0493
	AM 01 F1-925	2011- 9- 6 09:44	12	1
	MgO	mass%	112	1.9458
	Al2O3	mass%	113	14.717
	SiO2	mass%	114	62.299
	P2O5	mass%	115	0.2875
	K2O	mass%	119	6.2429
	CaO	mass%	120	2.9483
	TiO2	mass%	122	1.6928
	MnO	mass%	125	0.1901
	Fe2O3	mass%	126	9.3960
	Rb2O	mass%	137	0.0293
	SrO	mass%	138	0.0550
	ZrO2	mass%	140	0.1969
	AM 01 F6.4-925	2011- 9- 6 10:15	9	1
	Al2O3	mass%	113	19.132
	SiO2	mass%	114	60.437
	K2O	mass%	119	5.5956
	CaO	mass%	120	2.3204
	TiO2	mass%	122	1.5911
	MnO	mass%	125	0.1432
	Fe2O3	mass%	126	10.687
	Rb2O	mass%	137	0.0388
	SrO	mass%	138	0.0549
	AM 01 F9-925	2011- 9- 6 10:46	11	1
	MgO	mass%	112	2.0266
	Al2O3	mass%	113	16.752
	SiO2	mass%	114	59.772
	Cl	mass%	17	0.0362
	K2O	mass%	119	5.3761
	CaO	mass%	120	2.7770
	TiO2	mass%	122	1.7505
	MnO	mass%	125	0.1775
	Fe2O3	mass%	126	11.265
	Rb2O	mass%	137	0.0250
	SrO	mass%	138	0.0418
	AM 01 F9.2-925	2011- 9- 6 11:17	16	1
	MgO	mass%	112	2.5000
	Al2O3	mass%	113	17.325
	SiO2	mass%	114	58.734
	P2O5	mass%	115	0.2900
	Cl	mass%	17	0.1463
	K2O	mass%	119	4.7392
	CaO	mass%	120	2.1477
	TiO2	mass%	122	1.6228
	MnO	mass%	125	0.1233
	Fe2O3	mass%	126	12.055
	Co2O3	mass%	127	0.0497
	NiO	mass%	128	0.0357
	Rb2O	mass%	137	0.0246
	SrO	mass%	138	0.0466
	ZrO2	mass%	140	0.0893
	Ag2O	mass%	147	0.0704
	AM 01 F6-925	2011- 9- 6 11:47	13	1
	MgO	mass%	112	2.1798
	Al2O3	mass%	113	18.225
	SiO2	mass%	114	57.871
	Cl	mass%	17	0.0337
	K2O	mass%	119	4.9083
	CaO	mass%	120	1.9600
	TiO2	mass%	122	1.8316
	V2O5	mass%	123	0.1404
	MnO	mass%	125	0.1945
	Fe2O3	mass%	126	12.571
	ZnO	mass%	130	0.0309
	Rb2O	mass%	137	0.0313
	SrO	mass%	138	0.0231
	AM 01 F11-925	2011- 9- 6 12:18	20	1
	Na2O	mass%	111	2.5086
	MgO	mass%	112	1.7549
	Al2O3	mass%	113	19.129
	SiO2	mass%	114	58.609
